date,campaign_name,ad_set,creative_type,impressions,clicks,spend,conversions,revenue,CTR,CPC,CPM,ROAS,Conversion_Rate,AOV
2025-01-01,Conversion - Women Dresses,Lookalike,Video,18795.0,910.0,132.55,72.0,8777.24,0.048417132216014895,0.14565934065934066,7.052407555200851,66.21833270463975,0.07912087912087912,121.9061111111111
2025-01-01,Conversion - Men Shirts,Retargeting,Carousel,19850.0,264.0,76.14,24.0,2480.63,0.013299748110831235,0.2884090909090909,3.8357682619647355,32.57985290254794,0.09090909090909091,103.35958333333333
2025-01-01,Traffic - New Arrivals,Retargeting,Image,4685.0,102.0,486.46,6.0,480.33,0.021771611526147278,4.769215686274509,103.83351120597652,0.987398758376845,0.058823529411764705,80.05499999999999
2025-01-01,Retargeting - Website Visitors,Interest-Based,Carousel,9396.0,285.0,60.38,27.0,3316.4,0.03033205619412516,0.21185964912280703,6.426138782460622,54.925472010599535,0.09473684210526316,122.82962962962964
2025-01-02,Conversion - Women Dresses,Retargeting,Image,3189.0,111.0,403.33,3.0,320.32,0.034807149576669805,3.6336036036036035,126.47538413295703,0.794188381722163,0.02702702702702703,106.77333333333333
2025-01-02,Conversion - Men Shirts,Interest-Based,Image,14394.0,534.0,323.4,21.0,2342.23,0.037098791162984576,0.6056179775280899,22.467694872863692,7.242517006802721,0.03932584269662921,111.53476190476191
2025-01-02,Traffic - New Arrivals,Interest-Based,Carousel,13555.0,63.0,413.78,1.0,81.12,0.0046477314644042785,6.5679365079365075,30.52600516414607,0.19604620812992413,0.015873015873015872,81.12
2025-01-02,Retargeting - Website Visitors,Retargeting,Video,18787.0,558.0,424.94,35.0,5027.83,0.029701389258529835,0.7615412186379928,22.6188321711822,11.83185861533393,0.06272401433691756,143.6522857142857
2025-01-03,Conversion - Women Dresses,Interest-Based,Image,6943.0,51.0,241.32,2.0,236.54,0.007345527869796918,4.731764705882353,34.75730952038024,0.9801922758163435,0.0392156862745098,118.27
2025-01-03,Conversion - Men Shirts,Retargeting,Video,15990.0,451.0,398.81,34.0,3660.46,0.028205128205128206,0.8842793791574279,24.94121325828643,9.178455906321306,0.07538802660753881,107.66058823529411
2025-01-03,Traffic - New Arrivals,Broad,Video,14534.0,505.0,306.7,40.0,5564.69,0.03474611256364387,0.6073267326732673,21.102243016375393,18.143756113465926,0.07920792079207921,139.11724999999998
2025-01-03,Retargeting - Website Visitors,Lookalike,Image,12268.0,266.0,176.42,13.0,1168.24,0.021682425823280078,0.6632330827067668,14.380502119334855,6.621924951819522,0.04887218045112782,89.86461538461539
2025-01-04,Conversion - Women Dresses,Retargeting,Carousel,19448.0,906.0,494.1,88.0,9472.47,0.046585767174002465,0.545364238410596,25.406211435623202,19.171159684274436,0.09713024282560706,107.64170454545454
2025-01-04,Conversion - Men Shirts,Broad,Video,8258.0,130.0,370.1,3.0,401.97,0.01574231048680068,2.846923076923077,44.81714700896101,1.086111861659011,0.023076923076923078,133.99
2025-01-04,Traffic - New Arrivals,Retargeting,Carousel,9184.0,77.0,438.4,4.0,412.65,0.008384146341463415,5.693506493506494,47.73519163763066,0.9412636861313869,0.05194805194805195,103.1625
2025-01-04,Retargeting - Website Visitors,Interest-Based,Carousel,5454.0,111.0,196.33,3.0,364.17,0.02035203520352035,1.7687387387387388,35.997433076641,1.8548871797483828,0.02702702702702703,121.39
2025-01-05,Conversion - Women Dresses,Lookalike,Video,12762.0,511.0,432.01,5.0,596.45,0.040040745964582354,0.8454207436399217,33.85127722927441,1.3806393370523833,0.009784735812133072,119.29
2025-01-05,Conversion - Men Shirts,Lookalike,Carousel,3206.0,64.0,99.9,4.0,350.21,0.019962570180910792,1.5609375,31.160324391765442,3.5056056056056053,0.0625,87.5525
2025-01-05,Traffic - New Arrivals,Broad,Carousel,11755.0,145.0,362.98,5.0,487.25,0.01233517652062952,2.5033103448275864,30.878774989366228,1.3423604606314397,0.034482758620689655,97.45
2025-01-05,Retargeting - Website Visitors,Retargeting,Video,4059.0,62.0,84.64,3.0,385.9,0.01527469820152747,1.3651612903225807,20.852426706085243,4.5593100189035916,0.04838709677419355,128.63333333333333
